time,price,status,amount
100412,12.87,B,900
100430,12.86,S,500
100438,12.85,B,400
100446,12.85,B,5700
100446,12.85,B,100
100446,12.85,B,10000
100446,12.86,B,100
100446,12.86,B,38900
100446,12.86,B,600
100446,12.86,B,100
100446,12.87,B,1043
100446,12.87,B,10000
100446,12.87,B,3457
100448,12.83,S,800
100448,12.83,S,200
100448,12.83,S,1000
100500,12.83,B,2100
100500,12.83,B,300
100500,12.83,B,500
100500,12.85,B,2000
100501,12.85,S,100
100502,12.82,S,1000
100502,12.81,S,1000
100502,12.81,S,500
100502,12.81,S,1000
100502,12.8,S,8000
100502,12.8,S,100
100502,12.8,S,100
100502,12.8,S,1000
100502,12.8,S,1000
100503,12.8,B,1800
100503,12.83,B,200
100504,12.83,B,500
100504,12.83,B,100
100504,12.87,B,300
100510,12.83,S,100
100516,12.83,S,800
100521,12.8,S,200
100521,12.79,S,100
100521,12.79,S,200
100521,12.82,B,200
100521,12.83,B,200
100521,12.83,B,300
100529,12.83,B,400
100537,12.83,B,300
100545,12.86,B,700
100545,12.86,B,500
100545,12.86,B,500
100545,12.86,B,700
100546,12.86,S,500
100547,12.86,S,100
100552,12.86,S,500
100552,12.86,S,200
100553,12.86,S,400
100555,12.83,S,200
100555,12.83,S,300
100555,12.83,S,100
100556,12.8,S,600
100556,12.8,S,400
100601,12.83,B,1200
100601,12.86,B,600
100601,12.86,B,500
100601,12.87,B,2243
100601,12.87,B,1000
100601,12.87,B,2000
100601,12.87,B,1500
100601,12.87,B,100
100601,12.87,B,857
100649,12.85,B,2000
100649,12.85,B,100
100649,12.85,B,2000
100649,12.85,B,3000
100651,12.85,S,500
100658,12.86,B,500
100658,12.86,B,1800
100658,12.86,B,300
100658,12.86,B,1400
100704,12.85,S,10000
100705,12.86,B,400
100705,12.86,B,3000
100705,12.86,B,600
100705,12.86,B,1000
100705,12.86,B,600
100705,12.86,B,800
100705,12.86,B,1000
100705,12.87,B,43
100705,12.87,B,2500
100705,12.87,B,500
100705,12.87,B,1000
100705,12.87,B,1000
100705,12.87,B,1000
100705,12.87,B,700
100705,12.87,B,500
100705,12.87,B,800
100705,12.87,B,600
100705,12.87,B,1000
100705,12.87,B,500
100705,12.87,B,2000
100705,12.87,B,300
100705,12.87,B,500
100705,12.87,B,500
100705,12.87,B,5000
100705,12.87,B,1000
100705,12.87,B,500
100705,12.88,B,5000
100705,12.88,B,500
100705,12.88,B,1000
100705,12.88,B,10000
100705,12.88,B,300
100705,12.88,B,1200
100705,12.88,B,400
100705,12.88,B,100
100705,12.88,B,300
100705,12.88,B,1000
100705,12.88,B,700
100705,12.88,B,2157
100705,12.85,S,700
100707,12.87,S,1000
100707,12.88,B,200
100709,12.87,S,1000
100712,12.87,S,600
100715,12.87,S,900
100715,12.87,S,1000
100715,12.86,S,100
100719,12.86,S,200
100724,12.87,S,100
100725,12.87,S,100
100726,12.88,B,3000
100726,12.87,S,800
100728,12.87,S,600
100728,12.86,S,1500
100728,12.87,B,200
100734,12.86,S,1200
100734,12.86,S,800
100734,12.86,S,500
100739,12.86,B,500
100739,12.86,B,1100
100741,12.86,B,4500
100748,12.86,B,5000
100748,12.87,B,4200
100748,12.87,B,1000
100748,12.87,B,2000
100748,12.87,B,500
100748,12.87,B,1000
